01 Feb 12:47:35|pUtil.py    | Pilot cleanup has finished
01 Feb 12:47:45|pUtil.py    | Done, using system exit to quit
01 Feb 14:12:12|pUtil.py    | Pilot cleanup has finished
01 Feb 14:12:23|pUtil.py    | Done, using system exit to quit
01 Feb 14:17:08|pUtil.py    | Pilot cleanup has finished
01 Feb 14:17:18|pUtil.py    | Done, using system exit to quit
01 Feb 14:18:02|pUtil.py    | Pilot cleanup has finished
01 Feb 14:18:12|pUtil.py    | Done, using system exit to quit
02 Feb 12:39:24|pUtil.py    | Pilot cleanup has finished
02 Feb 12:39:34|pUtil.py    | Done, using system exit to quit
02 Feb 12:44:24|pUtil.py    | Pilot cleanup has finished
02 Feb 12:44:34|pUtil.py    | Done, using system exit to quit
02 Feb 13:24:54|pUtil.py    | Pilot cleanup has finished
02 Feb 13:25:04|pUtil.py    | Done, using system exit to quit
02 Feb 13:55:50|pUtil.py    | Pilot cleanup has finished
02 Feb 13:56:00|pUtil.py    | Done, using system exit to quit
02 Feb 14:04:44|pUtil.py    | Pilot cleanup has finished
02 Feb 14:04:55|pUtil.py    | Done, using system exit to quit
02 Feb 14:55:13|pUtil.py    | Pilot cleanup has finished
02 Feb 14:55:23|pUtil.py    | Done, using system exit to quit
02 Feb 14:59:07|pUtil.py    | Pilot cleanup has finished
02 Feb 14:59:17|pUtil.py    | Done, using system exit to quit
02 Feb 15:03:48|pUtil.py    | Pilot cleanup has finished
02 Feb 15:03:58|pUtil.py    | Done, using system exit to quit
02 Feb 15:06:21|pUtil.py    | Pilot cleanup has finished
02 Feb 15:06:31|pUtil.py    | Done, using system exit to quit
02 Feb 15:17:09|pUtil.py    | Pilot cleanup has finished
02 Feb 15:17:19|pUtil.py    | Done, using system exit to quit
02 Feb 15:31:55|pUtil.py    | Pilot cleanup has finished
02 Feb 15:32:05|pUtil.py    | Done, using system exit to quit
02 Feb 15:37:18|pUtil.py    | Pilot cleanup has finished
02 Feb 15:37:28|pUtil.py    | Done, using system exit to quit
02 Feb 15:45:59|pUtil.py    | Pilot cleanup has finished
02 Feb 15:46:09|pUtil.py    | Done, using system exit to quit
03 Feb 07:47:55|pUtil.py    | Pilot cleanup has finished
03 Feb 07:48:05|pUtil.py    | Done, using system exit to quit
03 Feb 08:12:12|pUtil.py    | Pilot cleanup has finished
03 Feb 08:12:22|pUtil.py    | Done, using system exit to quit
03 Feb 13:49:18|pUtil.py    | Pilot cleanup has finished
03 Feb 13:49:28|pUtil.py    | Done, using system exit to quit
06 Feb 12:25:32|pUtil.py    | Pilot cleanup has finished
06 Feb 12:25:42|pUtil.py    | Done, using system exit to quit
06 Feb 12:31:57|pUtil.py    | Pilot cleanup has finished
06 Feb 12:32:07|pUtil.py    | Done, using system exit to quit
17 Feb 12:19:50|pUtil.py    | Pilot cleanup has finished
17 Feb 12:20:00|pUtil.py    | Done, using system exit to quit
20 Feb 09:38:15|pUtil.py    | Pilot cleanup has finished
20 Feb 09:38:25|pUtil.py    | Done, using system exit to quit
20 Feb 11:01:21|pUtil.py    | Pilot cleanup has finished
20 Feb 11:01:31|pUtil.py    | Done, using system exit to quit
20 Feb 11:15:27|pUtil.py    | Pilot cleanup has finished
20 Feb 11:15:37|pUtil.py    | Done, using system exit to quit
20 Feb 11:19:25|pUtil.py    | Pilot cleanup has finished
20 Feb 11:19:35|pUtil.py    | Done, using system exit to quit
21 Feb 11:27:23|pUtil.py    | Pilot cleanup has finished
21 Feb 11:27:33|pUtil.py    | Done, using system exit to quit
22 Feb 13:02:03|pUtil.py    | Pilot cleanup has finished
22 Feb 13:02:13|pUtil.py    | Done, using system exit to quit
22 Feb 13:05:11|pUtil.py    | Pilot cleanup has finished
22 Feb 13:05:22|pUtil.py    | Done, using system exit to quit
22 Feb 13:07:34|pUtil.py    | Pilot cleanup has finished
22 Feb 13:07:44|pUtil.py    | Done, using system exit to quit
22 Feb 13:10:52|pUtil.py    | Pilot cleanup has finished
22 Feb 13:11:02|pUtil.py    | Done, using system exit to quit
22 Feb 13:20:00|pUtil.py    | Pilot cleanup has finished
22 Feb 13:20:10|pUtil.py    | Done, using system exit to quit
22 Feb 13:23:44|pUtil.py    | Pilot cleanup has finished
22 Feb 13:23:54|pUtil.py    | Done, using system exit to quit
22 Feb 13:26:30|pUtil.py    | Pilot cleanup has finished
22 Feb 13:26:40|pUtil.py    | Done, using system exit to quit
27 Feb 07:45:29|pUtil.py    | Pilot cleanup has finished
27 Feb 07:45:39|pUtil.py    | Done, using system exit to quit
27 Feb 07:53:14|pUtil.py    | Pilot cleanup has finished
27 Feb 07:53:24|pUtil.py    | Done, using system exit to quit
27 Feb 08:09:29|pUtil.py    | Pilot cleanup has finished
27 Feb 08:09:39|pUtil.py    | Done, using system exit to quit
27 Feb 08:12:15|pUtil.py    | Pilot cleanup has finished
27 Feb 08:12:25|pUtil.py    | Done, using system exit to quit
27 Feb 08:26:12|pUtil.py    | Pilot cleanup has finished
27 Feb 08:26:22|pUtil.py    | Done, using system exit to quit
27 Feb 08:40:26|pUtil.py    | Pilot cleanup has finished
27 Feb 08:40:36|pUtil.py    | Done, using system exit to quit
27 Feb 08:40:57|pUtil.py    | Pilot cleanup has finished
27 Feb 08:41:07|pUtil.py    | Done, using system exit to quit
27 Feb 08:43:32|pUtil.py    | Pilot cleanup has finished
27 Feb 08:43:43|pUtil.py    | Done, using system exit to quit
27 Feb 08:46:12|pUtil.py    | Pilot cleanup has finished
27 Feb 08:46:22|pUtil.py    | Done, using system exit to quit
27 Feb 08:52:21|pUtil.py    | Pilot cleanup has finished
27 Feb 08:52:31|pUtil.py    | Done, using system exit to quit
27 Feb 08:55:06|pUtil.py    | Pilot cleanup has finished
27 Feb 08:55:16|pUtil.py    | Done, using system exit to quit
27 Feb 08:58:37|pUtil.py    | Pilot cleanup has finished
27 Feb 08:58:47|pUtil.py    | Done, using system exit to quit
27 Feb 09:03:12|pUtil.py    | Pilot cleanup has finished
27 Feb 09:03:22|pUtil.py    | Done, using system exit to quit
27 Feb 09:53:38|pUtil.py    | Pilot cleanup has finished
27 Feb 09:53:48|pUtil.py    | Done, using system exit to quit
27 Feb 09:56:17|pUtil.py    | Pilot cleanup has finished
27 Feb 09:56:28|pUtil.py    | Done, using system exit to quit
27 Feb 11:48:04|pUtil.py    | Pilot cleanup has finished
27 Feb 11:48:15|pUtil.py    | Done, using system exit to quit
27 Feb 11:55:17|pUtil.py    | Pilot cleanup has finished
27 Feb 11:55:27|pUtil.py    | Done, using system exit to quit
27 Feb 11:58:03|pUtil.py    | Pilot cleanup has finished
27 Feb 11:58:13|pUtil.py    | Done, using system exit to quit
27 Feb 12:03:23|pUtil.py    | Pilot cleanup has finished
27 Feb 12:03:33|pUtil.py    | Done, using system exit to quit
27 Feb 12:07:48|pUtil.py    | Pilot cleanup has finished
27 Feb 12:07:58|pUtil.py    | Done, using system exit to quit
27 Feb 12:12:13|pUtil.py    | Pilot cleanup has finished
27 Feb 12:12:23|pUtil.py    | Done, using system exit to quit
27 Feb 12:14:51|pUtil.py    | Pilot cleanup has finished
27 Feb 12:15:01|pUtil.py    | Done, using system exit to quit
27 Feb 12:22:39|pUtil.py    | Pilot cleanup has finished
27 Feb 12:22:49|pUtil.py    | Done, using system exit to quit
27 Feb 12:33:07|pUtil.py    | Pilot cleanup has finished
27 Feb 12:33:17|pUtil.py    | Done, using system exit to quit
27 Feb 12:35:49|pUtil.py    | Pilot cleanup has finished
27 Feb 12:35:59|pUtil.py    | Done, using system exit to quit
27 Feb 12:38:16|pUtil.py    | Pilot cleanup has finished
27 Feb 12:38:26|pUtil.py    | Done, using system exit to quit
27 Feb 12:41:59|pUtil.py    | Pilot cleanup has finished
27 Feb 12:42:09|pUtil.py    | Done, using system exit to quit
27 Feb 12:49:33|pUtil.py    | Pilot cleanup has finished
27 Feb 12:49:43|pUtil.py    | Done, using system exit to quit
27 Feb 12:52:14|pUtil.py    | Pilot cleanup has finished
27 Feb 12:52:24|pUtil.py    | Done, using system exit to quit
27 Feb 12:58:19|pUtil.py    | Pilot cleanup has finished
27 Feb 12:58:29|pUtil.py    | Done, using system exit to quit
27 Feb 14:55:37|pUtil.py    | Pilot cleanup has finished
27 Feb 14:55:47|pUtil.py    | Done, using system exit to quit
27 Feb 14:58:22|pUtil.py    | Pilot cleanup has finished
27 Feb 14:58:32|pUtil.py    | Done, using system exit to quit
27 Feb 15:01:02|pUtil.py    | Pilot cleanup has finished
27 Feb 15:01:12|pUtil.py    | Done, using system exit to quit
27 Feb 15:03:20|pUtil.py    | Pilot cleanup has finished
27 Feb 15:03:30|pUtil.py    | Done, using system exit to quit
27 Feb 15:03:45|pUtil.py    | Pilot cleanup has finished
27 Feb 15:03:55|pUtil.py    | Done, using system exit to quit
27 Feb 15:05:20|pUtil.py    | Pilot cleanup has finished
27 Feb 15:05:30|pUtil.py    | Done, using system exit to quit
27 Feb 15:09:17|pUtil.py    | Pilot cleanup has finished
27 Feb 15:09:27|pUtil.py    | Done, using system exit to quit
27 Feb 15:11:57|pUtil.py    | Pilot cleanup has finished
27 Feb 15:12:07|pUtil.py    | Done, using system exit to quit
27 Feb 15:32:09|pUtil.py    | Pilot cleanup has finished
27 Feb 15:32:19|pUtil.py    | Done, using system exit to quit
27 Feb 15:36:01|pUtil.py    | Pilot cleanup has finished
27 Feb 15:36:11|pUtil.py    | Done, using system exit to quit
27 Feb 15:41:23|pUtil.py    | Pilot cleanup has finished
27 Feb 15:41:33|pUtil.py    | Done, using system exit to quit
27 Feb 16:13:06|pUtil.py    | Pilot cleanup has finished
27 Feb 16:13:16|pUtil.py    | Done, using system exit to quit
28 Feb 12:28:16|pUtil.py    | Pilot cleanup has finished
28 Feb 12:28:26|pUtil.py    | Done, using system exit to quit
08 Mar 09:47:38|pUtil.py    | Pilot cleanup has finished
08 Mar 09:47:48|pUtil.py    | Done, using system exit to quit
08 Mar 10:37:26|pUtil.py    | Pilot cleanup has finished
08 Mar 10:37:36|pUtil.py    | Done, using system exit to quit
08 Mar 16:08:11|pUtil.py    | Pilot cleanup has finished
08 Mar 16:08:21|pUtil.py    | Done, using system exit to quit
08 Mar 16:35:10|pUtil.py    | Pilot cleanup has finished
08 Mar 16:35:20|pUtil.py    | Done, using system exit to quit
